id,product_name,set_name,brand_name,discriminator,rarity,quantity,value_total,value_per_unit,value_currency,paid_total,paid_per_unit,paid_currency,grade_type,grade_subtype,group_name,group_wishlist,tcg_player_id,price_charting_id,card_market_id,date_added,tag
09e1dde9ffce473aafb063286eea627d,Abhorrent Oculus,Duskmourn House of Horror,Magic The Gathering,#42,Mythic,1,16.10,16.10,USD,15.30,15.30,USD,Ungraded,Near Mint,Red Binder,false,578053,7486401,,2025-08-11T15:42:20.783,
669d675ff5604637b669509473775217,Abrade,Foundations,Magic The Gathering,#188,Uncommon,1,0.13,0.13,USD,0.18,0.18,USD,Ungraded,Near Mint,Godzilla,false,591656,7832091,,2025-08-08T17:43:46.225,
eee0eb2708d547549093ce392a0f2459,Abrade,Commander: Tarkir: Dragonstorm,Magic The Gathering,#203,Uncommon,1,0.10,0.10,USD,0.11,0.11,USD,Ungraded,Near Mint,Mardu Surge PreCon,false,624178,9035774,,2025-08-09T13:20:00.515,
0685aacff4c743b6936eaf12303aaa41,Abyssal Harvester (Borderless),Foundations,Magic The Gathering,#316,Rare,1,1.13,1.13,USD,1.14,1.14,USD,Ungraded,Near Mint,Red Binder,false,591698,7832130,,2025-08-11T16:06:04.234,
9035174115b443f3b48ada1350955842,Accursed Marauder,Modern Horizons 3,Magic The Gathering,#80,Common,1,0.26,0.26,USD,0.26,0.26,USD,Ungraded,Near Mint,Disa PreCon,false,553204,6865461,,2025-08-11T18:04:02.441,
5e602c411bd743e288820c8a76c4afc5,Acrobatic Cheerleader,Duskmourn House of Horror,Magic The Gathering,#1,Common Foil,1,0.10,0.10,USD,0.10,0.10,USD,Ungraded,Near Mint,Blue Binder,false,575155,7486361,,2025-08-11T17:01:46.749,
0926f8f59c4e4b9aad5eba80b270ca61,Adarkar Wastes,Commander: Duskmourn House of Horror,Magic The Gathering,#258,Rare,1,0.60,0.60,USD,0.60,0.60,USD,Ungraded,Near Mint,Aminatou PreCon,false,579129,,,2025-08-11T18:33:45.918,
f7f539a76fd34c2ab1f41072ef2a13ac,"Adeline, Resplendent Cathar",Commander: Tarkir: Dragonstorm,Magic The Gathering,#108,Rare,1,3.05,3.05,USD,3.11,3.11,USD,Ungraded,Near Mint,Mardu Surge PreCon,false,624280,9035828,,2025-08-09T13:11:30.811,
356fc98808e94758b05cf685bb53d892,Aegis Turtle,Foundations,Magic The Gathering,#150,Common Foil,1,0.16,0.16,USD,0.16,0.16,USD,Ungraded,Near Mint,Blue Binder,false,591655,7832089,,2025-08-11T17:42:34.280,
fb8cbddca3d345709fc60ba1e0183fb4,Agent of the Shadow Thieves,Commander Legends: Battle for Baldur's Gate,Magic The Gathering,#108,Uncommon Foil,1,0.14,0.14,USD,0.14,0.14,USD,Ungraded,Near Mint,Rats,false,272918,,,2025-08-08T18:58:42.780,
171b9626b8774d6bab4922d773f877a6,Ainok Strike Leader,Commander: Tarkir: Dragonstorm,Magic The Gathering,#11,Rare,1,3.64,3.64,USD,3.77,3.77,USD,Ungraded,Near Mint,Mardu Surge PreCon,false,624277,9035825,,2025-08-09T13:12:57.338,
5228358a55304872bc8c067eb31575a1,Ajani's Pridemate,Foundations,Magic The Gathering,#135,Uncommon Foil,1,0.19,0.19,USD,0.19,0.19,USD,Ungraded,Near Mint,Blue Binder,false,589397,7831706,,2025-08-11T17:01:53.754,
fa2f6431a6e04218a7f45ecd62876277,Ajani's Pridemate (Borderless),Foundations,Magic The Gathering,#293,Uncommon Foil,1,0.36,0.36,USD,0.36,0.36,USD,Ungraded,Near Mint,Red Binder,false,589396,7831709,,2025-08-11T16:06:16.088,
d9487bb4977445f1a62e75e43179ab49,"Ajani, Caller of the Pride (Borderless)",Foundations,Magic The Gathering,#357,Mythic Foil,1,3.91,3.91,USD,3.91,3.91,USD,Ungraded,Near Mint,Red Binder,false,588093,7831625,,2025-08-11T16:05:37.015,
a551dcdee750471ababbc0cad9b05398,"Alania, Divergent Storm",Bloomburrow,Magic The Gathering,#204,Rare,1,0.15,0.15,USD,0.15,0.15,USD,Ungraded,Near Mint,Red Binder,false,558439,7128957,,2025-08-11T16:31:53.494,
35d3dd48ecbc45668a719b648991e93b,"Alena, Kessig Trapper",Commander Legends,Magic The Gathering,#160,Uncommon,1,0.20,0.20,USD,0.16,0.16,USD,Ungraded,Near Mint,Godzilla,false,221352,2189430,,2025-08-08T18:02:20.144,
f64c14aca4a0427d813d6d8f34b4dca0,"Alesha, Who Laughs at Fate",Foundations,Magic The Gathering,#115,Rare Foil,1,1.74,1.74,USD,1.81,1.81,USD,Ungraded,Near Mint,Red Binder,false,590863,7832308,,2025-08-11T16:08:46.028,
9364caf6470e42de99e6011bdf4fd658,"Alesha, Who Laughs at Fate",Foundations,Magic The Gathering,#115,Rare,1,1.47,1.47,USD,1.47,1.47,USD,Ungraded,Near Mint,Red Binder,false,590863,7832308,,2025-08-11T16:08:59.808,
979019519aad44ce93e7a7d507d7a47d,"Alesha, Who Laughs at Fate (Borderless)",Foundations,Magic The Gathering,#343,Rare,1,3.34,3.34,USD,3.34,3.34,USD,Ungraded,Near Mint,Red Binder,false,590860,7831835,,2025-08-11T16:09:10.767,
445157aaed674688a3f91c35cab9410c,"Alesha, Who Laughs at Fate (Extended Art)",Foundations,Magic The Gathering,#476,Rare,1,1.43,1.43,USD,1.44,1.44,USD,Ungraded,Near Mint,Red Binder,false,590862,7831836,,2025-08-11T16:07:06.631,
1e97ef7cb0af4e25803fd5ea83a297c6,Alisaie Leveilleur,Commander: Final Fantasy,Magic The Gathering,#9,Rare,1,0.39,0.39,USD,0.40,0.40,USD,Ungraded,Near Mint,Y'shtola PreCon,false,631095,,,2025-08-09T13:37:54.131,
b876615a58bb4f94ab453dee5693de1b,Alphinaud Leveilleur,Commander: Final Fantasy,Magic The Gathering,#33,Rare,1,0.32,0.32,USD,0.33,0.33,USD,Ungraded,Near Mint,Y'shtola PreCon,false,631140,,,2025-08-09T13:37:00.608,
d08fe9d5f51448d487148b932f1ce1d9,Altar of the Goyf,Commander: Modern Horizons 3,Magic The Gathering,#282,Uncommon,1,0.08,0.08,USD,0.08,0.08,USD,Ungraded,Near Mint,Disa PreCon,false,553542,6866648,,2025-08-11T18:10:24.343,
72d4ae61aab54f4190f1e5b4180b0b0f,Aminatou's Augury,Commander: Duskmourn House of Horror,Magic The Gathering,#71,Rare,1,0.25,0.25,USD,0.25,0.25,USD,Ungraded,Near Mint,Aminatou PreCon,false,578949,,,2025-08-11T18:31:29.563,
d6fd551166964a1d9cae5898339472ae,"Aminatou, Veil Piercer (Borderless)",Commander: Duskmourn House of Horror,Magic The Gathering,#1,Mythic Foil,1,0.41,0.41,USD,0.41,0.41,USD,Ungraded,Near Mint,Aminatou PreCon,false,575094,,,2025-08-11T18:24:07.188,
e17ba92348ce4f789133abd5533b6ce7,An Offer You Can't Refuse,Foundations,Magic The Gathering,#160,Uncommon Foil,1,1.75,1.75,USD,1.75,1.75,USD,Ungraded,Near Mint,Blue Binder,false,590828,7831806,,2025-08-11T17:42:47.261,
2673fac5eb294ef590220be1e38f14db,An Offer You Can't Refuse (Borderless),Foundations,Magic The Gathering,#311,Uncommon Foil,1,4.17,4.17,USD,4.01,4.01,USD,Ungraded,Near Mint,Red Binder,false,590827,7831805,,2025-08-11T16:05:53.678,
d75ee19628864520916b4e6a1b41416f,Ancient Cellarspawn,Commander: Duskmourn House of Horror,Magic The Gathering,#16,Rare,1,3.01,3.01,USD,3.01,3.01,USD,Ungraded,Near Mint,Aminatou PreCon,false,578989,,,2025-08-11T18:26:39.429,
b6e591499ba44076a45ab1b8c762fb25,Ancient Imperiosaur (Extended Art),March of the Machine,Magic The Gathering,#368,Rare,1,0.53,0.53,USD,0.56,0.56,USD,Ungraded,Near Mint,Red Binder,false,490624,5419087,,2025-08-11T16:12:34.552,
ea32b01f1d4341bda7c81151685cd645,Angel of Finality,Foundations,Magic The Gathering,#136,Uncommon Foil,1,0.24,0.24,USD,0.24,0.24,USD,Ungraded,Near Mint,Blue Binder,false,589742,7831766,,2025-08-11T17:02:01.807,
c55bb967e9f346349ae8d3df5680d4c6,Angel of Invention,Commander: Tarkir: Dragonstorm,Magic The Gathering,#109,Mythic,1,0.31,0.31,USD,0.35,0.35,USD,Ungraded,Near Mint,Mardu Surge PreCon,false,624281,9036145,,2025-08-09T13:11:19.878,
d5090ae6482a46918f4a30d5a875deaa,Anger,Commander: Modern Horizons 3,Magic The Gathering,#208,Uncommon,1,1.36,1.36,USD,1.36,1.36,USD,Ungraded,Near Mint,Disa PreCon,false,553533,6866574,,2025-08-11T18:04:21.577,
d9226561536c4c4e8766fc935f512e07,"Anguirus, Armored Killer - Gemrazer",Ikoria: Lair of Behemoths,Magic The Gathering,#376,Rare,1,3.87,3.87,USD,3.92,3.92,USD,Ungraded,Near Mint,Red Binder,false,212073,2196650,,2025-08-11T16:32:34.727,
75b0a288ca174321bae841701bd5bdac,Animist's Might (Retro Frame),March of the Machine: The Aftermath,Magic The Gathering,#70,Uncommon Foil,1,0.15,0.15,USD,0.13,0.13,USD,Ungraded,Near Mint,Spiders,false,495792,,,2025-08-08T23:19:20.426,
9278c744fd8a42749b91d82addd3abc1,Annihilating Fire,Return to Ravnica,Magic The Gathering,#85,Common,1,0.04,0.04,USD,0.04,0.04,USD,Ungraded,Near Mint,Rakdos Std 2013,false,66518,2217958,,2025-08-11T19:30:44.758,
0f0acc319625489d809e9fd8551607fe,Anthem of Champions (Borderless),Foundations,Magic The Gathering,#344,Rare Foil,1,0.65,0.65,USD,0.65,0.65,USD,Ungraded,Near Mint,Red Binder,false,588032,7831623,,2025-08-11T16:05:20.635,
156cf8a76b0e4aa9b9c797cf52db51a8,Apothecary Stomper,Foundations,Magic The Gathering,#99,Common Foil,1,0.06,0.06,USD,0.06,0.06,USD,Ungraded,Near Mint,Blue Binder,false,591736,7832164,,2025-08-11T17:14:03.475,
dc57ecb0d21649c0ad335a0627944ce4,Appendage Amalgam,Duskmourn House of Horror,Magic The Gathering,#83,Common Foil,1,0.10,0.10,USD,0.10,0.10,USD,Ungraded,Near Mint,Blue Binder,false,577665,7486442,,2025-08-11T17:08:13.611,
d300335ebc9447dbb68e9e36ddc33ec8,"Arabella, Abandoned Doll",Duskmourn House of Horror,Magic The Gathering,#208,Uncommon Foil,1,0.69,0.69,USD,0.68,0.68,USD,Ungraded,Near Mint,Red Binder,false,578068,7486567,,2025-08-11T15:50:10.181,
774ebb2730664158b374eca5fba5977f,Arachnus Spinner,Double Masters 2022,Magic The Gathering,#135,Uncommon Foil,1,0.23,0.23,USD,0.23,0.23,USD,Ungraded,Near Mint,Spiders,false,276921,,,2025-08-08T23:13:07.846,
d71ad4cac37d41d9a90bb66f11159042,Arachnus Web,Double Masters 2022,Magic The Gathering,#136,Common Foil,1,0.11,0.11,USD,0.11,0.11,USD,Ungraded,Near Mint,Spiders,false,276922,,,2025-08-08T23:21:24.879,
796f6b5091b94a3d87252fa59b043dbd,"Arahbo, the First Fang",Foundations,Magic The Gathering,#2,Rare,1,0.57,0.57,USD,0.57,0.57,USD,Ungraded,Near Mint,Red Binder,false,589324,7831650,,2025-08-11T16:18:45.888,
85452acb620a4740b9944b35d2431809,"Arahbo, the First Fang (Borderless)",Foundations,Magic The Gathering,#294,Rare,1,1.06,1.06,USD,1.04,1.04,USD,Ungraded,Near Mint,Red Binder,false,589398,7831708,,2025-08-11T16:05:09.640,
a747088dbb6c42059b565770aaa65254,Arasta of the Endless Web (Extended Art),Theros Beyond Death,Magic The Gathering,#325,Rare Foil,1,8.63,8.63,USD,8.60,8.60,USD,Ungraded,Near Mint,Spiders,false,207170,2197189,,2025-08-08T23:12:50.433,
6745d79c6e6c4aed8056b6df63c68e81,Arcane Denial,Commander: Duskmourn House of Horror,Magic The Gathering,#110,Common,1,1.83,1.83,USD,1.83,1.83,USD,Ungraded,Near Mint,Aminatou PreCon,false,578950,,,2025-08-11T18:26:17.889,
7743a97f95bb41bcac0cfc8bacf0f871,Arcane Sanctum,Commander: Final Fantasy,Magic The Gathering,#373,Uncommon,1,0.31,0.31,USD,0.30,0.30,USD,Ungraded,Near Mint,Y'shtola PreCon,false,631306,,,2025-08-09T13:41:51.215,
a7494ac3d08c4f93992f7bc04530a332,Arcane Sanctum,Commander: Duskmourn House of Horror,Magic The Gathering,#259,Uncommon,1,0.40,0.40,USD,0.40,0.40,USD,Ungraded,Near Mint,Aminatou PreCon,false,579131,,,2025-08-11T18:35:59.081,
1ee07783cf3c41b485b92e3c5ca62fe6,Arcane Signet,Commander: Modern Horizons 3,Magic The Gathering,#283,Common,1,0.43,0.43,USD,0.43,0.43,USD,Ungraded,Near Mint,Disa PreCon,false,552945,6866649,,2025-08-11T18:10:08.152,
9d45e3c8dab248a5b1ec1c2adb48acd4,Arcane Signet,Commander: Duskmourn House of Horror,Magic The Gathering,#92,Common,1,0.45,0.45,USD,0.45,0.45,USD,Ungraded,Near Mint,Aminatou PreCon,false,577861,,,2025-08-11T18:30:21.637,
e3c4172c268d42a391d56e825480f4fc,Arcane Signet,Commander: Duskmourn House of Horror,Magic The Gathering,#92,Common,1,0.45,0.45,USD,0.53,0.53,USD,Ungraded,Near Mint,Valgavoth,false,577861,,,2025-08-08T19:45:44.224,
8f6f735da58946b8a23abf92c1cee558,Arcane Signet,Commander Legends,Magic The Gathering,#297,Uncommon Foil,1,1.19,1.19,USD,1.21,1.21,USD,Ungraded,Near Mint,Rats,false,226694,2189479,,2025-08-08T18:53:19.997,
438372e948414014ad81e4b651582120,Arcane Signet,Commander: Tarkir: Dragonstorm,Magic The Gathering,#105,Uncommon,1,0.45,0.45,USD,0.44,0.44,USD,Ungraded,Near Mint,Mardu Surge PreCon,false,624048,9035739,,2025-08-09T13:18:02.038,
7cf505d398ab4cb0a2d5c0bbe8295057,Arcane Signet (0335),Commander: Final Fantasy,Magic The Gathering,#335,Common,1,0.60,0.60,USD,0.62,0.62,USD,Ungraded,Near Mint,Y'shtola PreCon,false,631287,,,2025-08-09T13:42:07.925,
abb9f1cc905f4fd281ee02273e3d9ae9,Archaeomancer's Map,Commander: Final Fantasy,Magic The Gathering,#230,Rare,1,1.96,1.96,USD,2.04,2.04,USD,Ungraded,Near Mint,Y'shtola PreCon,false,631110,,,2025-08-09T13:40:24.526,
a17e5f3b3c80447c87be79143e9d3953,Archetype of Imagination,Commander: Duskmourn House of Horror,Magic The Gathering,#111,Uncommon,1,0.54,0.54,USD,0.54,0.54,USD,Ungraded,Near Mint,Aminatou PreCon,false,578951,,,2025-08-11T18:27:32.200,
07947c75b7c1492a9ddca2c06e0ff478,Archmage Emeritus,Commander: Final Fantasy,Magic The Gathering,#261,Rare,1,0.98,0.98,USD,1.00,1.00,USD,Ungraded,Near Mint,Y'shtola PreCon,false,631174,,,2025-08-09T13:39:49.065,
7c19aef289f54a87abe3e387f302f41d,Archmage of Runes,Foundations,Magic The Gathering,#30,Rare,1,1.12,1.12,USD,1.12,1.12,USD,Ungraded,Near Mint,Red Binder,false,589326,7831651,,2025-08-11T16:15:47.727,
98fa91f328d843afb8987974abc3ed6a,Archon of Cruelty,Commander: Modern Horizons 3,Magic The Gathering,#197,Mythic,1,3.42,3.42,USD,3.42,3.42,USD,Ungraded,Near Mint,Disa PreCon,false,552407,6866563,,2025-08-11T18:03:22.350,
d2c20cb1eda0456c8eaa0569b7d19e27,Archon of Cruelty (Showcase),Commander: Duskmourn House of Horror,Magic The Gathering,#371,Promo Foil,1,12.60,12.60,USD,12.68,12.68,USD,Ungraded,Near Mint,Red Binder,false,575088,,,2025-08-11T15:40:11.234,
ca6580508d014da783adcb53b948fdff,Archway of Innovation,Modern Horizons 3,Magic The Gathering,#214,Rare,1,0.92,0.92,USD,0.93,0.93,USD,Ungraded,Near Mint,Red Binder,false,552861,6865595,,2025-08-11T15:58:39.931,
8c138a51cff44f1fbfd6a224bb60ad94,"Ardbert, Warrior of Darkness",Commander: Final Fantasy,Magic The Gathering,#77,Rare,1,0.78,0.78,USD,0.77,0.77,USD,Ungraded,Near Mint,Y'shtola PreCon,false,631263,,,2025-08-09T13:35:34.797,
e5fa03e29209440b9276cacf2267036c,Armasaur Guide,Foundations,Magic The Gathering,#3,Common Foil,1,0.06,0.06,USD,0.06,0.06,USD,Ungraded,Near Mint,Blue Binder,false,591682,7832115,,2025-08-11T17:02:09.612,
7b31537432524d1681418b5eb17ef0ba,Armed // Dangerous,Dragon's Maze,Magic The Gathering,#122,Uncommon,1,0.17,0.17,USD,0.17,0.17,USD,Ungraded,Near Mint,Godzilla,false,67902,2217072,,2025-08-08T18:04:49.759,
aaa2e59c0c8a426087f1cf72b626a07d,Arni Brokenbrow,Kaldheim,Magic The Gathering,#120,Rare,1,0.10,0.10,USD,0.10,0.10,USD,Ungraded,Near Mint,Godzilla,false,230740,2188608,,2025-08-08T18:11:13.472,
c3d5b8b9f321445c85cc4c6db204f6b6,Arni Slays the Troll,Kaldheim,Magic The Gathering,#201,Uncommon,1,0.18,0.18,USD,0.17,0.17,USD,Ungraded,Near Mint,Godzilla,false,230718,2188681,,2025-08-08T18:06:41.781,
