Set Name,SetCode,TotalCards,ReleaseDate,,,
Lorwyn Eclipsed,ecl,33,"Jan 23, 2026",,,
Avatar: The Last Airbender,tla,110,"Nov 21, 2025",,,
Avatar: The Last Airbender Eternal,tle,101,"Nov 21, 2025",,,
Marvel's Spider-Man Eternal,spe,26,"Sep 26, 2025",,,
Marvel's Spider-Man,spm,286,"Sep 26, 2025",,,
Marvel Universe,mar,40,"Sep 26, 2025",,,
Through the Omenpaths,om1,188,"Sep 23, 2025",,,
Through the Omenpaths Bonus Sheet,omb,40,"Sep 23, 2025",,,
2023 Heroes of the Realm,ph23,1,"Aug 24, 2025",,,
Edge of Eternities Commander,eoc,191,"Aug 1, 2025",,,
Edge of Eternities: Stellar Sights,eos,180,"Aug 1, 2025",,,
Edge of Eternities,eoe,399,"Aug 1, 2025",,,
Final Fantasy,fin,594,"Jun 13, 2025",,,
Final Fantasy: Through the Ages,fca,65,"Jun 13, 2025",,,
Final Fantasy Commander,fic,486,"Jun 13, 2025",,,
Tarkir: Dragonstorm,tdm,427,"Apr 11, 2025",,,
Tarkir: Dragonstorm Commander,tdc,413,"Apr 11, 2025",,,
Aetherdrift Commander,drc,184,"Feb 14, 2025",,,
Aetherdrift,dft,553,"Feb 14, 2025",,,
Innistrad Remastered,inr,495,"Jan 24, 2025",,,
Pioneer Masters,pio,398,"Dec 10, 2024",,,
Foundations Jumpstart,j25,779,"Nov 15, 2024",,,
Foundations,fdn,730,"Nov 15, 2024",,,
Foundations Commander,fdc,3,"Nov 15, 2024",,,
Duskmourn: House of Horror,dsk,418,"Sep 27, 2024",,,
Duskmourn: House of Horror Commander,dsc,373,"Sep 27, 2024",,,
Mystery Booster 2,mb2,385,"Aug 2, 2024",,,
Bloomburrow Commander,blc,356,"Aug 2, 2024",,,
Bloomburrow,blb,398,"Aug 2, 2024",,,
Assassin's Creed Minigames,macr,3,"Jul 5, 2024",,,
Assassin's Creed,acr,309,"Jul 5, 2024",,,
Modern Horizons 3,mh3,528,"Jun 14, 2024",,,
Modern Horizons 3 Commander,m3c,398,"Jun 14, 2024",,,
Modern Horizons 2 Timeshifts,h2r,16,"Jun 7, 2024",,,
The Big Score,big,95,"Apr 19, 2024",,,
Outlaws of Thunder Junction Commander,otc,342,"Apr 19, 2024",,,
Outlaws of Thunder Junction,otj,374,"Apr 19, 2024",,,
Breaking News,otp,80,"Apr 19, 2024",,,
Fallout,pip,1068,"Mar 8, 2024",,,
Ravnica: Clue Edition,clu,284,"Feb 23, 2024",,,
Murders at Karlov Manor Commander,mkc,358,"Feb 9, 2024",,,
Murders at Karlov Manor,mkm,451,"Feb 9, 2024",,,
Ravnica Remastered,rvr,531,"Jan 12, 2024",,,
Special Guests,spg,134,"Nov 17, 2023",,,
The Lost Caverns of Ixalan,lci,416,"Nov 17, 2023",,,
Jurassic World Collection,rex,45,"Nov 17, 2023",,,
The Lost Caverns of Ixalan Commander,lcc,370,"Nov 17, 2023",,,
Doctor Who,who,1178,"Oct 13, 2023",,,
Wilds of Eldraine,woe,381,"Sep 8, 2023",,,
Wilds of Eldraine Commander,woc,173,"Sep 8, 2023",,,
Wilds of Eldraine: Enchanting Tales,wot,103,"Sep 8, 2023",,,
Angels: They're Just Like Us but Cooler and with Wings,pagl,50,"Aug 14, 2023",,,
Commander Masters,cmm,1067,"Aug 4, 2023",,,
2022 Heroes of the Realm,ph22,5,"Aug 1, 2023",,,
Tales of Middle-earth Commander,ltc,591,"Jun 23, 2023",,,
The Lord of the Rings: Tales of Middle-earth Minigames,mltr,1,"Jun 23, 2023",,,
The Lord of the Rings: Tales of Middle-earth,ltr,856,"Jun 23, 2023",,,
March of the Machine: The Aftermath,mat,230,"May 12, 2023",,,
From Cute to Brute,pctb,93,"May 8, 2023",,,
March of the Machine,mom,387,"Apr 21, 2023",,,
Multiverse Legends,mul,261,"Apr 21, 2023",,,
March of the Machine Commander,moc,450,"Apr 21, 2023",,,
Shadows over Innistrad Remastered,sir,294,"Mar 21, 2023",,,
Shadows of the Past,sis,76,"Mar 21, 2023",,,
Unknown Event,unk,493,"Feb 15, 2023",,,
Unknown Event,da1,449,"Feb 15, 2023",,,
Phyrexia: All Will Be One,one,479,"Feb 10, 2023",,,
Phyrexia: All Will Be One Commander,onc,174,"Feb 10, 2023",,,
Phyrexia: All Will Be One Minigames,mone,5,"Feb 3, 2023",,,
Dominaria Remastered,dmr,457,"Jan 13, 2023",,,
Jumpstart 2022,j22,835,"Dec 2, 2022",,,
Starter Commander Decks,scd,352,"Dec 2, 2022",,,
The Brothers' War Commander,brc,209,"Nov 18, 2022",,,
The Brothers' War Minigames,mbro,3,"Nov 18, 2022",,,
The Brothers' War Retro Artifacts,brr,189,"Nov 18, 2022",,,
The Brothers' War,bro,399,"Nov 18, 2022",,,
Transformers,bot,29,"Nov 18, 2022",,,
Unfinity Sticker Sheets,sunf,48,"Oct 7, 2022",,,
"Warhammer 40,000 Commander",40k,617,"Oct 7, 2022",,,
The List (Unfinity Foil Edition),uplist,62,"Oct 7, 2022",,,
Unfinity,unf,639,"Oct 7, 2022",,,
